job_link,last_processed_time,got_summary,got_ner,is_being_worked,job_title,company,job_location,first_seen,search_city,search_country,search_position,job_level,job_type
https://www.linkedin.com/jobs/view/business-analyst-at-enexus-global-inc-3793669045,2024-01-19 09:45:09.215838+00,t,t,f,Business Analyst,Enexus Global Inc.,"Atlanta, GA",2024-01-13,Atlanta,United States,Management Analyst,Mid senior,Onsite
https://uk.linkedin.com/jobs/view/enterprise-business-analyst-at-ekco-nl-3802168247,2024-01-19 09:45:09.215838+00,t,t,f,Enterprise Business Analyst,Ekco NL,"London, England, United Kingdom",2024-01-13,Greater London,United Kingdom,Management Analyst,Mid senior,Onsite
https://www.linkedin.com/jobs/view/senior-business-analyst-at-lockheed-martin-3790899985,2024-01-19 09:45:09.215838+00,t,t,f,Senior Business Analyst,Lockheed Martin,"Highlands Ranch, CO",2024-01-13,Aurora,United States,Management Analyst,Mid senior,Onsite
https://www.linkedin.com/jobs/view/business-analyst-at-stellent-it-3793659528,2024-01-19 09:45:09.215838+00,t,t,f,Business Analyst,Stellent IT,"Johnston, RI",2024-01-13,North Kingstown,United States,Management Analyst,Mid senior,Onsite
https://www.linkedin.com/jobs/view/erp-business-analyst-at-york-space-systems-llc-3780324474,2024-01-19 09:45:09.215838+00,t,t,f,ERP Business Analyst,York Space Systems LLC,"Greenwood Village, CO",2024-01-13,Aurora,United States,Management Analyst,Mid senior,Onsite
https://www.linkedin.com/jobs/view/business-analyst-4-need-local-candidates-at-alrek-business-solutions-inc-3747465567,2024-01-19 09:45:09.215838+00,t,t,f,Business Analyst 4 (Need local candidates),Alrek Business Solutions Inc,"Richmond, VA",2024-01-13,Montpelier,United States,Management Analyst,Associate,Onsite
https://uk.linkedin.com/jobs/view/senior-business-analyst-at-head-resourcing-3800258778,2024-01-19 09:45:09.215838+00,t,t,f,Senior Business Analyst,Head Resourcing,"Glasgow, Scotland, United Kingdom",2024-01-13,Greater Glasgow,United Kingdom,Management Analyst,Mid senior,Onsite
https://www.linkedin.com/jobs/view/business-analyst-%23li-pg1-%23hiring-%23omaha-%23jobs-at-radio-engineering-industries-3804329737,2024-01-19 09:45:09.215838+00,t,t,f,Business Analyst - #LI-PG1 #Hiring #Omaha #Jobs,Radio Engineering Industries,"Omaha, NE",2024-01-13,Nebraska,United States,Management Analyst,Mid senior,Onsite
https://www.linkedin.com/jobs/view/business-analyst-retail-negotiations-at-conlego-3794047816,2024-01-19 09:45:09.215838+00,t,t,f,Business Analyst (Retail Negotiations),Conlego,"Minneapolis, MN",2024-01-13,Minneapolis,United States,Management Analyst,Mid senior,Onsite
https://uk.linkedin.com/jobs/view/business-analyst-at-big-red-recruitment-3790149124,2024-01-19 09:45:09.215838+00,t,t,f,Business Analyst,Big Red Recruitment,"Warwick, England, United Kingdom",2024-01-13,Tyneside,United Kingdom,Management Analyst,Mid senior,Onsite
https://au.linkedin.com/jobs/view/senior-business-analyst-at-talent-3783488592,2024-01-19 09:45:09.215838+00,t,t,f,Senior Business Analyst,Talent,"Melbourne, Victoria, Australia",2024-01-13,Victoria,Australia,Management Analyst,Mid senior,Onsite
https://ca.linkedin.com/jobs/view/senior-lead-business-analyst-at-luxoft-3796866634,2024-01-19 09:45:09.215838+00,t,t,f,Senior/Lead Business Analyst,Luxoft,"Toronto, Ontario, Canada",2024-01-13,Etobicoke,Canada,Management Analyst,Mid senior,Onsite
https://www.linkedin.com/jobs/view/business-analyst-at-lennar-3737473921,2024-01-19 09:45:09.215838+00,t,t,f,Business Analyst,Lennar,"Miami, FL",2024-01-13,Highland Park,United States,Management Analyst,Mid senior,Onsite
https://au.linkedin.com/jobs/view/business-analyst-at-perigon-group-3786692934,2024-01-19 09:45:09.215838+00,t,t,f,Business Analyst,Perigon Group,"Brisbane, Queensland, Australia",2024-01-13,Deception Bay,Australia,Management Analyst,Mid senior,Onsite
https://www.linkedin.com/jobs/view/business-analyst-iii-at-assurity-3792106750,2024-01-19 09:45:09.215838+00,t,t,f,Business Analyst III,Assurity,"Lincoln, NE",2024-01-13,Nebraska,United States,Management Analyst,Mid senior,Onsite
https://www.linkedin.com/jobs/view/investment-business-analyst-boston-ma-at-executive-staff-recruiters-esr-healthcare-3735355387,2024-01-19 09:45:09.215838+00,t,t,f,Investment business analyst Boston ma,Executive Staff Recruiters / ESR Healthcare,"Boston, MA",2024-01-13,Ipswich,United States,Management Analyst,Mid senior,Onsite
https://www.linkedin.com/jobs/view/it-business-analyst-2-at-imagine-staffing-technology-an-imagine-company-3804268429,2024-01-19 09:45:09.215838+00,t,t,f,IT Business Analyst 2,"Imagine Staffing Technology, An Imagine Company","Atlanta, GA",2024-01-13,Stockbridge,United States,Management Analyst,Associate,Onsite
https://www.linkedin.com/jobs/view/business-analyst-vitalchek-onsite-at-lexisnexis-risk-solutions-3802546411,2024-01-19 09:45:09.215838+00,t,t,f,"Business Analyst, VitalChek (Onsite)",LexisNexis Risk Solutions,"Brentwood, TN",2024-01-13,Nashville,United States,Management Analyst,Mid senior,Onsite
https://www.linkedin.com/jobs/view/senior-business-analyst-at-ascendo-resources-3771563960,2024-01-19 09:45:09.215838+00,t,t,f,Senior Business Analyst,Ascendo Resources,"Miami, FL",2024-01-13,Highland Park,United States,Management Analyst,Mid senior,Onsite
https://www.linkedin.com/jobs/view/business-analyst-at-cliecon-solutions-inc-3735090297,2024-01-19 09:45:09.215838+00,t,t,f,Business Analyst,"Cliecon Solutions, Inc.","Greenville, SC",2024-01-13,South Carolina,United States,Management Analyst,Mid senior,Onsite
https://www.linkedin.com/jobs/view/business-analyst-at-university-of-dayton-school-of-engineering-3784016438,2024-01-19 09:45:09.215838+00,t,t,f,Business Analyst,University of Dayton School of Engineering,"Dayton, OH",2024-01-13,Ohio,United States,Management Analyst,Mid senior,Onsite
https://ca.linkedin.com/jobs/view/business-analyst-at-cgi-3803319803,2024-01-19 09:45:09.215838+00,t,t,f,Business Analyst,CGI,"Toronto, Ontario, Canada",2024-01-13,Etobicoke,Canada,Management Analyst,Mid senior,Onsite
https://www.linkedin.com/jobs/view/senior-business-analyst-at-bgsf-3774835209,2024-01-19 09:45:09.215838+00,t,t,f,Senior Business Analyst,BGSF,"Milford Mill, MD",2024-01-13,Baltimore,United States,Management Analyst,Mid senior,Onsite
https://www.linkedin.com/jobs/view/sr-business-analyst-vitalchek-onsite-at-lexisnexis-risk-solutions-3802541987,2024-01-19 09:45:09.215838+00,t,t,f,"Sr Business Analyst, VitalChek (Onsite)",LexisNexis Risk Solutions,"Brentwood, TN",2024-01-13,Nashville,United States,Management Analyst,Mid senior,Onsite
https://uk.linkedin.com/jobs/view/business-analyst-crm-at-nsi-3804019200,2024-01-19 09:45:09.215838+00,t,t,f,Business Analyst - CRM,NSI,"Southampton, England, United Kingdom",2024-01-13,South Hampshire,United Kingdom,Management Analyst,Mid senior,Onsite
https://uk.linkedin.com/jobs/view/lead-business-analyst-at-royal-caribbean-group-3800584051,2024-01-19 09:45:09.215838+00,t,t,f,"Lead, Business Analyst",Royal Caribbean Group,"Fleet Street, England, United Kingdom",2024-01-13,Greater London,United Kingdom,Management Analyst,Mid senior,Onsite
https://uk.linkedin.com/jobs/view/risk-and-compliance-business-analyst-at-broadgate-3788157211,2024-01-19 09:45:09.215838+00,t,t,f,Risk and Compliance Business Analyst,Broadgate,"Southampton, England, United Kingdom",2024-01-13,South Hampshire,United Kingdom,Management Analyst,Mid senior,Onsite
https://www.linkedin.com/jobs/view/business-analysts-wanted-turn-data-into-insights-join-our-team-at-techfetch-com-on-demand-tech-workforce-hiring-platform-3801914332,2024-01-19 09:45:09.215838+00,t,t,f,"Business Analysts Wanted: Turn Data into Insights, Join Our Team",TechFetch.com - On Demand Tech Workforce hiring platform,"Jacksonville, AR",2024-01-13,Little Rock,United States,Management Analyst,Mid senior,Onsite
https://uk.linkedin.com/jobs/view/senior-business-analyst-oil-refinery-optimization-spanish-german-speaking-world-energy-co-at-femcike-films-communications-p-ltd-3804000370,2024-01-19 09:45:09.215838+00,t,t,f,Senior Business Analyst Oil Refinery Optimization Spanish/ German Speaking World Energy Co,Femcike Films & Communications (P) Ltd,"Southampton, England, United Kingdom",2024-01-13,South Hampshire,United Kingdom,Management Analyst,Mid senior,Onsite
https://www.linkedin.com/jobs/view/senior-business-analyst-w2-at-workcog-inc-3801506920,2024-01-19 09:45:09.215838+00,t,t,f,Senior Business Analyst (W2),Workcog Inc,"Washington, DC",2024-01-13,Alexandria,United States,Management Analyst,Associate,Onsite
https://au.linkedin.com/jobs/view/business-analyst-at-pioneer-credit-limited-3786915488,2024-01-19 09:45:09.215838+00,t,t,f,Business Analyst,Pioneer Credit Limited,"Perth, Western Australia, Australia",2024-01-13,Redcliffe,Australia,Management Analyst,Associate,Onsite
https://www.linkedin.com/jobs/view/business-analyst-h-f-at-energy-jobline-3773717242,2024-01-19 09:45:09.215838+00,t,t,f,BUSINESS ANALYST H/F,Energy Jobline,"Wichita, KS",2024-01-13,Kansas,United States,Management Analyst,Mid senior,Onsite
https://ca.linkedin.com/jobs/view/business-analyst-acheson-ab-at-oldcastle-apg-3803193342,2024-01-19 09:45:09.215838+00,t,t,f,"Business Analyst - Acheson, AB",Oldcastle APG,"Acheson, Alberta, Canada",2024-01-13,Alberta,Canada,Management Analyst,Mid senior,Onsite
https://www.linkedin.com/jobs/view/peoplesoft-scm-business-analyst-at-new-resources-consulting-3792079162,2024-01-19 09:45:09.215838+00,t,t,f,PeopleSoft SCM Business Analyst,New Resources Consulting,"Milwaukee, WI",2024-01-13,Milwaukee,United States,Management Analyst,Mid senior,Onsite
https://uk.linkedin.com/jobs/view/business-analyst-at-sr2-3790812718,2024-01-19 09:45:09.215838+00,t,t,f,Business Analyst,SR2,"Birmingham, England, United Kingdom",2024-01-13,Worcester,United Kingdom,Management Analyst,Mid senior,Onsite
https://ca.linkedin.com/jobs/view/business-analyst-at-api-3774825839,2024-01-19 09:45:09.215838+00,t,t,f,Business Analyst,API,"Edmonton, Alberta, Canada",2024-01-13,Alberta,Canada,Management Analyst,Mid senior,Onsite
https://www.linkedin.com/jobs/view/jde-business-analyst-supply-chain-at-laticrete-international-3775660119,2024-01-19 09:45:09.215838+00,t,t,f,JDE Business Analyst (Supply Chain),LATICRETE International,"Haslet, TX",2024-01-13,Denton,United States,Management Analyst,Mid senior,Onsite
https://www.linkedin.com/jobs/view/business-analyst-only-w2-columbia-sc-29210-onsite-from-day-1-at-information-resource-group-3726475382,2024-01-19 09:45:09.215838+00,t,t,f,"Business Analyst  -Only W2 - Columbia, SC, 29210 (ONSITE FROM DAY 1)",Information Resource Group,"Columbia, SC",2024-01-13,South Carolina,United States,Consultant Education,Associate,Onsite
